TotalFactura,Diferenciada,TotalFactura_sqrt,Log_TotalFactura,TotalFactura_yeojohnson,campaña_marketing,cierre_hotel,Predicción_ARIMA,Predicción_SARIMA_cuadrado,Predicción_SARIMA_sarimax_train,Predicción_SARIMA_sarimax,Fecha
0.0,0.0,0.0,0.0,-1.8861829286740202,1,1,1284.5689519186951,0.06793796331105509,0.08587188432551374,0.05088017104273612,2022-08-21
785.0,785.0,28.0178514522438,6.666956792429207,-0.8099710698044611,1,1,876.1592523099538,6.638649109989938e-05,0.00010607681397539257,0.018609712295827557,2022-08-28
175.0,-610.0,13.228756555322953,5.170483995038151,-1.244658408800345,1,1,847.176516275178,27.990473498177234,27.983241367842677,27.99814831357741,2022-09-04
2974.11,2799.11,54.53540134628148,7.998036292086096,-0.23763361867624289,1,1,633.4679343573703,13.243181164814983,13.246982645888549,13.235543069990534,2022-09-11
2275.0,-699.1100000000001,47.69696007084728,7.730174795246222,-0.370456488775259,1,1,1377.6404612346885,54.49505210008726,54.48439811112243,54.49880030434632,2022-09-18
28860.0,26585.0,169.88231220465536,10.270246481762213,1.393696659543063,1,1,1662.9426547147204,47.70360291755626,47.70534453577455,47.690043389342904,2022-09-25
8568.0,-20292.0,92.56349172324907,9.055906318669118,0.3954142620725746,1,1,10309.844795503348,169.76292364189337,169.73138802762995,169.76417387022644,2022-10-02
1806.0,-6762.0,42.49705872175156,7.499423290592229,-0.4771966360122228,1,1,9756.051004508321,92.63892818248641,92.6588165742806,92.5934390178218,2022-10-09
3215.2,1409.1999999999998,56.70273362017038,8.075955817419924,-0.19709885834097104,1,1,7228.449868198364,42.546055521308915,42.55902311787699,42.55538377567229,2022-10-16
8320.0,5104.8,91.21403400793103,9.02653771890043,0.37520654456467656,1,1,5952.496428226612,56.68890023249122,56.68526201395546,56.710625666768344,2022-10-23
835.0,-7485.0,28.89636655359978,6.728628613084702,-0.7878762872228771,1,1,6705.209173696827,91.18029731088565,91.17138090729907,91.1842678755941,2022-10-30
2522.0,1687.0,50.21951811795888,7.833203948641057,-0.320537157590522,1,1,4838.862986811053,28.957228131035542,28.973294353248964,28.944445437859585,2022-11-06
2210.0,-312.0,47.01063709417264,7.701200180857446,-0.384239043233085,1,1,4102.250666359713,50.198741386420465,50.19327283705391,50.21693522880773,2022-11-13
160.0,-2050.0,12.649110640673518,5.081404364984463,-1.2652587220522766,1,1,3500.6375532160087,47.01375239299686,47.01456857724535,47.01274878961555,2022-11-20
0.0,-160.0,0.0,0.0,-1.8861829286740202,1,1,2438.5312509144114,12.682690510788204,12.691562000828693,12.68245046083882,2022-11-27
28077.620000000003,28077.620000000003,167.56377890224368,10.242763711632932,1.36717006364425,1,1,1663.2363053546235,0.012393060958599223,0.015677779426748032,0.02431459255490982,2022-12-04
7718.9,-20358.72,87.85727061547041,8.95155668956705,0.3243576386085923,1,1,10061.298934593506,167.40005382067187,167.35680814698102,167.41454466169426,2022-12-11
905.0,-6813.9,30.083217912982647,6.80903930604298,-0.7584921552683064,1,1,9316.567837219218,87.93499691181424,87.95547572323147,87.8792464789483,2022-12-18
8825.28,7920.280000000001,93.94296141808603,9.08548891377677,0.41593700236567,1,1,6642.234249743601,30.139748553944525,30.154707024631612,30.149053040430072,2022-12-25
7871.360000000001,-953.9200000000001,88.72068529942722,8.971113169393744,0.33751781700979494,1,1,7336.301358977858,93.88061525378379,93.86416432578703,93.91520643663564,2023-01-01
4816.24,-3055.120000000001,69.3991354413007,8.479956428930693,0.02776917135400735,1,1,7506.415340419352,88.7257273941162,88.74330997662122,88.73901588235547,2023-01-08
0.0,-4816.24,0.0,0.0,-1.8861829286740202,1,1,6651.11387839601,118.34164462475265,104.24303027176626,103.85877069982911,2023-01-15
3470.0,3470.0,58.90670590009256,8.152198015861787,-0.1565760809207718,1,1,4536.490590164886,87.14581920825862,111.12097132689631,111.04932122706167,2023-01-22
0.0,-3470.0,0.0,0.0,-1.8861829286740202,1,1,4197.415680326491,-2.2120995855744283,2.650942327576182,-4.006796945713187,2023-01-29
0.0,0.0,0.0,0.0,-1.8861829286740202,1,1,2862.909444185272,26.66975252212634,35.60204085709728,38.516144130836594,2023-02-05
0.0,0.0,0.0,0.0,-1.8861829286740202,1,1,1952.689728592163,30.244958263761678,58.11929308637279,55.51575928982609,2023-02-12
0.0,0.0,0.0,0.0,-1.8861829286740202,1,1,1331.860909500209,-56.98152042928318,-40.292210895571976,-42.91466726067812,2023-02-19
1585.0,1585.0,39.81205847478876,7.368970402194793,-0.5345742488355826,1,1,908.415431433454,-40.82728104133296,-74.06297796872288,-59.05830824582201,2023-02-26
440.0,-1145.0,20.97617696340303,6.089044875446846,-0.9995759187908912,1,1,1123.5254883813377,39.60007604436238,-24.34237425386344,-7.542356508479841,2023-03-05
0.0,-440.0,0.0,0.0,-1.8861829286740202,1,1,906.2086686339509,15.64579853281391,-12.62578480623801,-17.828325929508303,2023-03-12
5619.48,5619.48,74.96319096730075,8.634172348493243,0.12050275991340047,1,1,618.0930251904185,-14.851167363021581,-26.741510482698672,-39.46864094259968,2023-03-19
320.0,-5299.48,17.88854381999832,5.771441123130016,-1.0914917934766637,1,1,2208.2100437459144,85.93583877476074,32.363220601172365,28.63934857556921,2023-03-26
1860.0,1540.0,43.12771730569565,7.528869256642251,-0.46395438820247714,1,1,1607.8815868018064,-10.651419531599545,-12.03069998405904,-38.06166718075968,2023-04-02
2100.0,240.0,45.8257569495584,7.650168700845001,-0.4082447429106236,1,1,1688.0389074684235,52.39740769737878,24.409170246049207,10.246485877360627,2023-04-09
5810.0,3710.0,76.22335600063802,8.667507952075105,0.14107712479859133,1,1,1819.015843969546,66.84037899758695,60.117701927917935,38.23649107962406,2023-04-16
7000.0,1190.0,83.66600265340756,8.853808274977197,0.259643415931133,1,1,3087.8902300654127,60.36698647439492,46.84210152816374,24.991519245526675,2023-04-23
1410.0,-5590.0,37.54996671103717,7.252053951852814,-0.5842563750833276,1,1,4331.687671647516,94.96174895839476,77.3690822332766,58.44466739718415,2023-04-30
0.0,-1410.0,0.0,0.0,-1.8861829286740202,1,1,3402.780287957739,36.86821463810354,58.26681683221741,30.769101957889493,2023-05-07
0.0,0.0,0.0,0.0,-1.8861829286740202,1,1,2320.9166222307367,8.49686342829715,43.70809441692998,23.48623192201216,2023-05-14
1232.0,1232.0,35.09985754956849,7.117205503164344,-0.6395852068243891,1,1,1583.0155083506334,-32.082318425533664,8.352081170367324,0.3229498921189844,2023-05-21
